mal_id,title,episodes,type,source,season,year,rating
120,Fruits Basket,26,TV,Manga,summer,2001,PG-13 - Teens 13 or older
154,Shaman King,64,TV,Manga,summer,2001,PG-13 - Teens 13 or older
168,s.CRY.ed,26,TV,Original,summer,2001,PG-13 - Teens 13 or older
551,Grappler Baki: Saidai Tournament-hen,24,TV,Manga,summer,2001,R - 17+ (violence & profanity)
509,I My Me! Strawberry Eggs,13,TV,Original,summer,2001,PG-13 - Teens 13 or older
397,Seikai no Senki II,10,TV,Light novel,summer,2001,PG-13 - Teens 13 or older
1098,Samurai Girl Real Bout High School,13,TV,Light novel,summer,2001,PG-13 - Teens 13 or older
952,Magical Nyan Nyan Taruto,12,TV,Unknown,summer,2001,G - All Ages
1676,Cosmo Warrior Zero,13,TV,Game,summer,2001,PG-13 - Teens 13 or older
3772,Saiko Robot Kombock,26,TV,Unknown,summer,2001,PG - Children
6625,Nono-chan,61,TV,4-koma manga,summer,2001,G - All Ages
10360,Kinniku Banzuke: Kongou-kun no Daibouken!,3,TV,Other,summer,2001,PG-13 - Teens 13 or older
4940,Sabaku no Kaizoku! Captain Kuppa,26,TV,Manga,summer,2001,G - All Ages
7452,Mini Moni Yaru no da Pyon!,66,TV,Other,summer,2001,G - All Ages
11525,Mamimume★Mogacho,13,TV,Unknown,summer,2001,PG - Children
32580,Uniminipet,26,TV,Unknown,summer,2001,G - All Ages
