mal_id,title,episodes,type,source,season,year,rating
12189,Hyouka,22,TV,Novel,spring,2012,PG-13 - Teens 13 or older
11771,Kuroko no Basket,25,TV,Manga,spring,2012,PG-13 - Teens 13 or older
11741,Fate/Zero 2nd Season,12,TV,Light novel,spring,2012,R - 17+ (violence & profanity)
11759,Accel World,24,TV,Light novel,spring,2012,PG-13 - Teens 13 or older
11499,Sankarea,12,TV,Manga,spring,2012,R+ - Mild Nudity
12445,Tasogare Otome x Amnesia,12,TV,Manga,spring,2012,R - 17+ (violence & profanity)
10790,Kore wa Zombie desu ka? of the Dead,10,TV,Light novel,spring,2012,R - 17+ (violence & profanity)
12531,Sakamichi no Apollon,12,TV,Manga,spring,2012,PG-13 - Teens 13 or older
11785,Haiyore! Nyaruko-san,12,TV,Light novel,spring,2012,PG-13 - Teens 13 or older
12413,Jormungand,12,TV,Manga,spring,2012,R+ - Mild Nudity
12291,Acchi Kocchi,12,TV,4-koma manga,spring,2012,PG-13 - Teens 13 or older
12467,Nazo no Kanojo X,13,TV,Manga,spring,2012,R - 17+ (violence & profanity)
11761,Medaka Box,12,TV,Manga,spring,2012,PG-13 - Teens 13 or older
12431,Uchuu Kyoudai,99,TV,Manga,spring,2012,PG-13 - Teens 13 or older
12883,Tsuritama,12,TV,Original,spring,2012,PG-13 - Teens 13 or older
11837,Zetman,13,TV,Manga,spring,2012,R+ - Mild Nudity
12461,Hiiro no Kakera,13,TV,Visual novel,spring,2012,PG-13 - Teens 13 or older
12471,Eureka Seven AO,24,TV,Manga,spring,2012,PG-13 - Teens 13 or older
12979,Naruto SD: Rock Lee no Seishun Full-Power Ninden,51,TV,Manga,spring,2012,PG-13 - Teens 13 or older
12815,Shirokuma Cafe,50,TV,Manga,spring,2012,G - All Ages
11739,Kimi to Boku. 2,13,TV,Manga,spring,2012,PG-13 - Teens 13 or older
13203,Lupin the Third: Mine Fujiko to Iu Onna,13,TV,Manga,spring,2012,R+ - Mild Nudity
12149,AKB0048,13,TV,Original,spring,2012,PG-13 - Teens 13 or older
13261,Inazuma Eleven Go: Chrono Stone,51,TV,Game,spring,2012,G - All Ages
12929,Saint Seiya Omega,97,TV,Manga,spring,2012,PG-13 - Teens 13 or older
12753,Phi Brain: Kami no Puzzle - Orpheus Order-hen,25,TV,Original,spring,2012,PG-13 - Teens 13 or older
12367,Shining Hearts: Shiawase no Pan,12,TV,Game,spring,2012,PG-13 - Teens 13 or older
12119,Natsu-iro Kiseki,12,TV,Original,spring,2012,PG-13 - Teens 13 or older
11859,Queen's Blade: Rebellion,12,TV,Other,spring,2012,R+ - Mild Nudity
10884,Saki Achiga-hen: Episode of Side-A,12,TV,Manga,spring,2012,PG-13 - Teens 13 or older
13377,Recorder to Randoseru Re♪,13,TV,4-koma manga,spring,2012,PG-13 - Teens 13 or older
12875,Ginga e Kickoff!!,39,TV,Novel,spring,2012,PG - Children
13145,Cardfight!! Vanguard: Asia Circuit-hen,39,TV,Original,spring,2012,PG-13 - Teens 13 or older
12611,Sengoku Collection,26,TV,Game,spring,2012,PG-13 - Teens 13 or older
12677,Ozma,6,TV,Original,spring,2012,PG-13 - Teens 13 or older
13231,Metal Fight Beyblade Zero G,38,TV,Manga,spring,2012,PG - Children
13163,Furusato Saisei: Nippon no Mukashibanashi,258,TV,Other,spring,2012,G - All Ages
13141,Shiba Inuko-san,26,TV,Manga,spring,2012,G - All Ages
13159,Kuromajo-san ga Tooru!!,60,TV,Novel,spring,2012,PG - Children
12863,Pretty Rhythm: Dear My Future,51,TV,Game,spring,2012,PG - Children
12123,Yurumates 3D,13,TV,4-koma manga,spring,2012,PG-13 - Teens 13 or older
13139,Gakkatsu!,25,TV,Original,spring,2012,G - All Ages
13143,Baku Tech! Bakugan,51,TV,Manga,spring,2012,PG - Children
12963,Jewelpet Kira☆Deco!,52,TV,Original,spring,2012,PG - Children
18845,Ninja Hattori-kun (2012),52,TV,Manga,spring,2012,G - All Ages
13029,Arashi no Yoru ni: Himitsu no Tomodachi,26,TV,Book,spring,2012,G - All Ages
7867,Gon,50,TV,Manga,spring,2012,G - All Ages
21997,Duel Masters Victory V,51,TV,Original,spring,2012,PG-13 - Teens 13 or older
13431,Himitsukessha Taka no Tsume NEO,38,TV,Original,spring,2012,PG-13 - Teens 13 or older
18941,Shimajirou no Wow!,,TV,Other,spring,2012,G - All Ages
13455,Zumomo to Nupepe,32,TV,Unknown,spring,2012,PG - Children
13463,Panda no Taputapu,431,TV,Original,spring,2012,G - All Ages
13465,Little Charo: Touhoku-hen,12,TV,Original,spring,2012,G - All Ages
35317,Mini Rope,4,TV,Original,spring,2012,G - All Ages
13165,Paboo & Mojies,52,TV,Original,spring,2012,G - All Ages
22585,Nukko.,24,TV,Original,spring,2012,PG-13 - Teens 13 or older
13459,Ribbon-chan,24,TV,Unknown,spring,2012,
40087,Penguin no Mondai POW,51,TV,Unknown,spring,2012,G - All Ages
44415,Shaonian Shiye: Xiayi Huanle Xing,26,TV,Original,spring,2012,PG - Children
46907,Dongnan Te Weidui,52,TV,Original,spring,2012,PG - Children
46402,Ben Ben You Youji: Mala Xialingying,50,TV,Original,spring,2012,PG - Children
46332,Shi Er Shengxiao: Long Xing Tianxia,40,TV,Original,spring,2012,PG - Children
