mal_id,title,episodes,type,source,season,year,rating
40028,Shingeki no Kyojin: The Final Season,16,TV,Manga,winter,2021,R - 17+ (violence & profanity)
42897,Horimiya,13,TV,Manga,winter,2021,PG-13 - Teens 13 or older
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,11,TV,Light novel,winter,2021,R - 17+ (violence & profanity)
40852,Dr. Stone: Stone Wars,11,TV,Manga,winter,2021,PG-13 - Teens 13 or older
39617,Yakusoku no Neverland 2nd Season,11,TV,Manga,winter,2021,R - 17+ (violence & profanity)
39551,Tensei shitara Slime Datta Ken 2nd Season,12,TV,Manga,winter,2021,PG-13 - Teens 13 or older
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,12,TV,Light novel,winter,2021,R - 17+ (violence & profanity)
43299,Wonder Egg Priority,12,TV,Original,winter,2021,R - 17+ (violence & profanity)
39783,5-toubun no Hanayome ∬,12,TV,Manga,winter,2021,PG-13 - Teens 13 or older
40750,Kaifuku Jutsushi no Yarinaoshi,12,TV,Light novel,winter,2021,R+ - Mild Nudity
42923,SK∞,12,TV,Original,winter,2021,PG-13 - Teens 13 or older
40935,Beastars 2nd Season,12,TV,Manga,winter,2021,R - 17+ (violence & profanity)
37984,"Kumo desu ga, Nani ka?",24,TV,Light novel,winter,2021,PG-13 - Teens 13 or older
41491,Nanatsu no Taizai: Funnu no Shinpan,24,TV,Manga,winter,2021,PG-13 - Teens 13 or older
41899,Ore dake Haireru Kakushi Dungeon,12,TV,Light novel,winter,2021,PG-13 - Teens 13 or older
40908,Kemono Jihen,12,TV,Manga,winter,2021,R - 17+ (violence & profanity)
40530,Jaku-Chara Tomozaki-kun,12,TV,Light novel,winter,2021,PG-13 - Teens 13 or older
40594,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,12,TV,Light novel,winter,2021,PG-13 - Teens 13 or older
39586,Hataraku Saibou!!,8,TV,Manga,winter,2021,PG-13 - Teens 13 or older
41109,Log Horizon: Entaku Houkai,12,TV,Light novel,winter,2021,PG-13 - Teens 13 or older
41694,Hataraku Saibou Black,13,TV,Manga,winter,2021,PG-13 - Teens 13 or older
38474,Yuru Camp△ Season 2,13,TV,Manga,winter,2021,PG-13 - Teens 13 or older
40907,World Trigger 2nd Season,12,TV,Manga,winter,2021,PG-13 - Teens 13 or older
39808,Non Non Biyori Nonstop,12,TV,Manga,winter,2021,PG-13 - Teens 13 or older
41392,Urasekai Picnic,12,TV,Novel,winter,2021,R - 17+ (violence & profanity)
40679,2.43: Seiin Koukou Danshi Volley-bu,12,TV,Novel,winter,2021,PG-13 - Teens 13 or older
42250,Bungou Stray Dogs Wan!,12,TV,Web manga,winter,2021,PG-13 - Teens 13 or older
38853,Ex-Arm,12,TV,Manga,winter,2021,PG-13 - Teens 13 or older
41762,Tenchi Souzou Design-bu,12,TV,Manga,winter,2021,PG-13 - Teens 13 or older
42822,Kai Byoui Ramune,12,TV,Manga,winter,2021,PG-13 - Teens 13 or older
40842,Idoly Pride,12,TV,Mixed media,winter,2021,PG-13 - Teens 13 or older
40961,Hortensia Saga,12,TV,Game,winter,2021,PG-13 - Teens 13 or older
40930,Azur Lane: Bisoku Zenshin!,12,TV,4-koma manga,winter,2021,PG-13 - Teens 13 or older
46118,Wave!! Surfing Yappe!! (TV),12,TV,Mixed media,winter,2021,PG-13 - Teens 13 or older
42941,Uma Musume: Pretty Derby Season 2,13,TV,Game,winter,2021,PG-13 - Teens 13 or older
40786,Skate-Leading☆Stars,12,TV,Original,winter,2021,PG-13 - Teens 13 or older
40964,Back Arrow,24,TV,Original,winter,2021,R+ - Mild Nudity
42825,Project Scard: Praeter no Kizu,13,TV,Mixed media,winter,2021,PG-13 - Teens 13 or older
41573,Majutsushi Orphen Hagure Tabi: Kimluck-hen,11,TV,Light novel,winter,2021,PG-13 - Teens 13 or older
41556,Maiko-san Chi no Makanai-san,12,TV,Manga,winter,2021,PG-13 - Teens 13 or older
39725,I★Chu: Halfway Through the Idol,12,TV,Game,winter,2021,PG-13 - Teens 13 or older
44235,Pui Pui Molcar,12,TV,Other,winter,2021,G - All Ages
32455,Gekidol: Actidol Project,12,TV,Original,winter,2021,PG-13 - Teens 13 or older
36458,Soukou Musume Senki,12,TV,Game,winter,2021,PG-13 - Teens 13 or older
44208,Yami Shibai 8,13,TV,Original,winter,2021,PG-13 - Teens 13 or older
42959,Yatogame-chan Kansatsu Nikki Sansatsume,12,TV,4-koma manga,winter,2021,PG-13 - Teens 13 or older
41520,Show by Rock!! Stars!!,12,TV,Game,winter,2021,PG-13 - Teens 13 or older
44191,Tropical-Rouge! Precure,46,TV,Original,winter,2021,G - All Ages
42506,World Witches Hasshin Shimasu!,12,TV,Original,winter,2021,PG-13 - Teens 13 or older
41521,WIXOSS Diva(A)Live,12,TV,Card game,winter,2021,PG-13 - Teens 13 or older
45782,D4DJ Petit Mix,26,TV,Mixed media,winter,2021,PG-13 - Teens 13 or older
40957,Shin Chuuka Ichiban! 2nd Season,12,TV,Manga,winter,2021,PG-13 - Teens 13 or older
42981,Idolls!,10,TV,Original,winter,2021,PG-13 - Teens 13 or older
42653,Aikatsu Planet!,24,TV,Game,winter,2021,PG - Children
44040,Abciee Shuugyou Nikki,12,TV,Other,winter,2021,PG - Children
45207,Okashi na Sabaku no Suna to Manu,50,TV,Manga,winter,2021,PG - Children
45596,Kindan Joshi,5,TV,Original,winter,2021,PG-13 - Teens 13 or older
48495,Akachan Honbuchou,8,TV,Manga,winter,2021,G - All Ages
49078,Xi Yangyang Yu Hui Tailang: Kuang Chu Shengli,60,TV,Unknown,winter,2021,PG - Children
44702,Kintamani Dog,50,TV,Original,winter,2021,G - All Ages
52052,Zannen na Ikimono Jiten (2021),5,TV,Picture book,winter,2021,PG - Children
49920,Sai Er Hao Season 11: Liekong Canghai,30,TV,Game,winter,2021,PG - Children
51753,Madeob Bus Tayo,10,TV,Unknown,winter,2021,PG - Children
53381,Agisang-eo Ollie wa William,54,TV,Music,winter,2021,PG - Children
53652,Ooya-san to Boku 3rd Season,5,TV,Manga,winter,2021,G - All Ages
54128,Dudadakung 3rd Season,26,TV,Original,winter,2021,PG - Children
