mal_id,type,name,url
65,anime,Tokyo Movie Shinsha,https://myanimelist.net/anime/producer/65/Tokyo_Movie_Shinsha
200,anime,Tezuka Productions,https://myanimelist.net/anime/producer/200/Tezuka_Productions
589,anime,Academy Productions,https://myanimelist.net/anime/producer/589/Academy_Productions
247,anime,Shin-Ei Animation,https://myanimelist.net/anime/producer/247/Shin-Ei_Animation
103,anime,Tatsunoko Production,https://myanimelist.net/anime/producer/103/Tatsunoko_Production
390,anime,Tsuchida Productions,https://myanimelist.net/anime/producer/390/Tsuchida_Productions
14,anime,Sunrise,https://myanimelist.net/anime/producer/14/Sunrise
22,anime,Nippon Animation,https://myanimelist.net/anime/producer/22/Nippon_Animation
18,anime,Toei Animation,https://myanimelist.net/anime/producer/18/Toei_Animation
242,anime,Ashi Productions,https://myanimelist.net/anime/producer/242/Ashi_Productions
452,anime,Knack Productions,https://myanimelist.net/anime/producer/452/Knack_Productions
1,anime,Pierrot,https://myanimelist.net/anime/producer/1/Pierrot
37,anime,Studio Deen,https://myanimelist.net/anime/producer/37/Studio_Deen
73,anime,TMS Entertainment,https://myanimelist.net/anime/producer/73/TMS_Entertainment
939,anime,Tama Production,https://myanimelist.net/anime/producer/939/Tama_Production
246,anime,Visual 80,https://myanimelist.net/anime/producer/246/Visual_80
86,anime,Group TAC,https://myanimelist.net/anime/producer/86/Group_TAC
44,anime,Shaft,https://myanimelist.net/anime/producer/44/Shaft
281,anime,Kokusai Eigasha,https://myanimelist.net/anime/producer/281/Kokusai_Eigasha
1509,anime,Studio World,https://myanimelist.net/anime/producer/1509/Studio_World
2256,anime,Kitty Film Mitaka Studio,https://myanimelist.net/anime/producer/2256/Kitty_Film_Mitaka_Studio
8,anime,Artland,https://myanimelist.net/anime/producer/8/Artland
288,anime,Kaname Productions,https://myanimelist.net/anime/producer/288/Kaname_Productions
191,anime,Eiken,https://myanimelist.net/anime/producer/191/Eiken
36,anime,Gallop,https://myanimelist.net/anime/producer/36/Gallop
11,anime,Madhouse,https://myanimelist.net/anime/producer/11/Madhouse
363,anime,Topcraft,https://myanimelist.net/anime/producer/363/Topcraft
72,anime,Artmic,https://myanimelist.net/anime/producer/72/Artmic
471,anime,Shanghai Animation Film Studio,https://myanimelist.net/anime/producer/471/Shanghai_Animation_Film_Studio
126,anime,Studio Comet,https://myanimelist.net/anime/producer/126/Studio_Comet
196,anime,Production Reed,https://myanimelist.net/anime/producer/196/Production_Reed
226,anime,Panmedia,https://myanimelist.net/anime/producer/226/Panmedia
1754,anime,Meruhensha,https://myanimelist.net/anime/producer/1754/Meruhensha
280,anime,Studio Junio,https://myanimelist.net/anime/producer/280/Studio_Junio
68,anime,Mushi Production,https://myanimelist.net/anime/producer/68/Mushi_Production
48,anime,AIC,https://myanimelist.net/anime/producer/48/AIC
358,anime,Telescreen,https://myanimelist.net/anime/producer/358/Telescreen
39,anime,Daume,https://myanimelist.net/anime/producer/39/Daume
228,anime,Daewon Media,https://myanimelist.net/anime/producer/228/Daewon_Media
10,anime,Production I.G,https://myanimelist.net/anime/producer/10/Production_IG
6,anime,Gainax,https://myanimelist.net/anime/producer/6/Gainax
